,SITE_ID,IGBP,LOCATION_LAT,LOCATION_LONG,SITE_NAME,COUNTRY,MAP,LOCATION_ELEV,SITE_SNOW_COVER_DAYS,SITE_DESC,FLUX_MEASUREMENTS_DATE_START,FLUX_MEASUREMENTS_DATE_END
45,CA-SF3,OSH,54.0915600,-106.0052600,"Saskatchewan - Western Boreal, forest burned in 1998",Canada,470,540,,"The 1998 burn site (F98) was in the east part of
Prince Albert National Park, Saskatchewan, in the
Waskesiu Fire, ignited by lightning that burned about
1700 ha in July 1998. The pre-fire forest consisted of
jack pine and black spruce stands, with some intermixed
aspen. The fire was severe, consuming much of the top layer of organic soil and killing all trees. In 2001, much
of the regenerating vegetation consisted of aspen
saplings about 1 m tall and shorter jack pine and black
spruce seedlings. An overstory of dead, leafless jack
pine trees dominated at a height of 18 m. Sparse grass
and herbs, such as fireweed (Epilobium angustifolium
L.) covered the ground. There were a large number of
fallen dead trees, mostly perched above the ground and
not decomposing quickly.",2001-01-01 00:00:00,2006-01-01 00:00:00
46,CA-TP1,ENF,42.66093611,-80.55951944,Ontario - Turkey Point 2002 Plantation White Pine,Canada,1036,265,,"Plantation established in 2002 on a former sandy agricultural field, which was abandoned three years prior to planting",2003-01-01 00:00:00,
47,CA-TP2,ENF,42.77441944,-80.458775,Ontario - Turkey Point 1989 Plantation White Pine,Canada,1036,212,,Plantation established in 1989 over sandy agriculture land,2003-01-01 00:00:00,2008-06-12 00:00:00
48,CA-TP3,ENF,42.70681111,-80.34831389,Ontario - Turkey Point 1974 Plantation White Pine,Canada,1036,184,,White pine plantation established in 1974 over sandy abandoned land,2003-01-01 00:00:00,
49,CA-TP4,ENF,42.710161,-80.357376,Ontario - Turkey Point 1939 Plantation White Pine,Canada,1036,184,,White pine plantation established in 1939 over sandy abandoned land,2003-01-01 00:00:00,
50,CA-TPD,DBF,42.635328,-80.557731,Ontario - Turkey Point Mature Deciduous,Canada,1036,260,,"The forest is approximately 90 years old. Naturally regenerated on sandy terrain and abandoned agricultural land. Predominantly hardwood species with a few scattered conifers. Site has been managed (thinned) in the past. It has a high biodiversity with 573 tree and plant species, 102 bird species, 23 mamal species and 22 reptile and amphibian species (SWALSREP Report, 1999).  The dominant tree species is white oak (Quercus alba), with other scattered broadleaf Carolinian species including sugar and red maple (Acer saccharum, A. rubrum), American beech (Fagus grandifolia), black and red oak (Q. velutina, Q. rubra) and white ash (Fraxinus americana) . There are also scattered conifers, mostly white and red pine (Pinus strobes, P. resinosa), comprising about 5% of the trees. Average tree height is 25.7 m with a stand density of 504 ± 18 trees per hectare. Average tree diameter at breast height is 22.3 cm and basal area is 0.06 m2 or approximately 29 square meters per hectare.",2012-01-05 00:00:00,
51,CG-Tch,SAV,-4.28917,11.65642,Tchizalamou,Republic of Congo,1150,82,,,,
52,CH-Cha,GRA,47.21022,8.41044,Chamau,Switzerland,1136,393,,intensively managed grassland in the lowlands of switzerland,2012-01-01 00:00:00,
53,CH-Dav,ENF,46.81533,9.85591,Davos,Switzerland,1062,1639,,,1997-01-01 00:00:00,
54,CH-Fru,GRA,47.11583,8.53778,Früebüel ,Switzerland,1651,982,,,2006-01-01 00:00:00,2011-01-01 00:00:00
55,CH-Lae,MF,47.47833,8.36439,Laegern,Switzerland,1100,689,,,2004-01-01 00:00:00,
56,CH-Oe1,GRA,47.28583,7.73194,Oensingen grassland,Switzerland,1100,450,,,,
58,CN-Cha,MF,42.4025,128.0958,Changbaishan,China,,,,,,
59,CN-Cng,GRA,44.5934,123.5092,Changling,China,,,,,,
60,CN-Dan,GRA,30.4978,91.0664,Dangxiong,China,,,,,,
61,CN-Din,EBF,23.1733,112.5361,Dinghushan,China,,,,,,
62,CN-Du2,GRA,42.0467,116.2836,Duolun_grassland (D01),China,,,,,,
63,CN-Du3,GRA,42.0551,116.2809,Duolun Degraded Meadow,China,,,,,,
65,CN-HaM,GRA,37.3700,101.1800,Haibei Alpine Tibet site,China,,,,,,
66,CN-Qia,ENF,26.7414,115.0581,Qianyanzhou,China,,,,,,
67,CN-Sw2,GRA,41.7902,111.8971,Siziwang Grazed (SZWG),China,,,,,,
68,CZ-BK1,ENF,49.50208,18.53688,Bily Kriz forest,Czech Republic,1316,875,,,2004-01-01 00:00:00,
69,CZ-BK2,GRA,49.49443,18.54285,Bily Kriz grassland,Czech Republic,1316,855,,"mountain grassland, tower position 49°29'39.983N, 18°32'34.306E",2003-01-01 00:00:00,
73,DE-Gri,GRA,50.94947,13.51253,Grillenburg,Germany,901,385,66,"The permanent grassland site (50°57’04”N, 13°30’50”E; 385 m a.s.l.) is located in the middle of the Grillenburg clearing (around 40 ha) within the Tharandt Forest. Typical and observed plant species are couch grass (Agropyron repens), meadow foxtail (Aleopecurus pratensis), yarrow (Achillea millefolium), common sorrel (Rumex acetosa) and white clover (Trifolium repens).
The organic soil horizon (ABhw) is characterised as silty loam. The B horizon shows mainly medium clayey loam and medium clayey silt. Withi",2002-03-08 13:00:00,
74,DE-Hai,DBF,51.07921,10.45217,Hainich,Germany,720,430,,,2000-01-01 00:00:00,
76,DE-Lkb,ENF,49.09962,13.30467,Lackenberg,Germany,1599,1308,173,,2009-01-01 00:00:00,
77,DE-Lnf,DBF,51.32822,10.3678,Leinefelde,Germany,,451,,,2002-01-01 00:00:00,
78,DE-Obe,ENF,50.78666,13.72129,Oberbärenburg,Germany,996,734,,,2008-01-30 12:00:00,
79,DE-RuR,GRA,50.62191,6.30413,Rollesbroich,Germany,1033,514.7,10,"The Rollesbroich study site is located in the low mountain range “Eifel” near the German-Belgium border and covers the area of the small Kieselbach catchment  (40 ha) with altitudes ranging from 474 to 518 m.a.s.l.. The climate is temperate maritime with a mean annual air temperature and precipitation of 7.7 °C and 1033 mm, respectively, for the period from 1981 to 2001 (North Rhine-Westphalian State Environment Agency).
The soils are dominated by (stagnic) Cambisols and Stagnosols on Devonian shales with occasional sandstone inclusions that are covered by a periglacial solifluction clay–silt layer. The grassland vegetation is dominated by perennial ryegrass (Lolium perenne) and smooth meadow grass (Poa pratensis). 
In spring 2011 an eddy covariance station (50.621°N, 6.304°E,515 m a.s.l.) was installed at the border of two fields of grassland (5.8 and 7.8 ha) within the study site. Management of both fields is typical for the low mountain range of the Eifel region with one fertilizer application and three cuts per year.
The area within the fetch of the eddy covariance tower is relatively flat with slopes ranging between 0.35° and 3.12°.",2011-05-13 13:00:00,
84,DE-Tha,ENF,50.96256,13.56515,Tharandt,Germany,843,385,72,"The Anchor Station Tharandt (50.96235°N, 13.56516°E, 385 m a.s.l.) is located in the Eastern part of a large forested area (60 km²) near the city of Tharandt, about 25 km SW of Dresden. This forest has a long history of forestry documentation as well as meteorological and hydrological measurements.
The spruce stand at the Anchor Station Tharandt was established by seeding in 1887. Besides the dominating spruce trees some additional tree species are present: in the vicinity of the measurement tower (500 m ra",1996-01-01 00:00:00,
86,DK-Eng,GRA,55.69053,12.19175,Enghave,Denmark,613,10,,,,
88,DK-Sor,DBF,55.48587,11.64464,Soroe,Denmark,660,40,,,,
89,ES-Amo,OSH,36.83361,-2.25232,Amoladeras,Spain,0,58,,,2009-01-01 00:00:00,
90,ES-LgS,OSH,37.09794,-2.96583,Laguna Seca,Spain,,2267,,,2007-01-01 00:00:00,2007-01-01 00:00:00
91,ES-LJu,OSH,36.92659,-2.75212,Llano de los Juanes,Spain,400,1600,,,2004-01-01 00:00:00,
92,ES-Ln2,OSH,36.9695,-3.47582,Lanjaron-Salvage logging,Spain,,2249,,,2009-01-01 00:00:00,2009-01-01 00:00:00
93,FI-Hyy,ENF,61.84741,24.29477,Hyytiala,Finland,709,181,,,1997-06-01 00:00:00,2015-09-16 00:00:00
95,FI-Let,ENF,60.64183,23.95952,Lettosuo,Finland,627,111,90,The site is a nutrient-rich peatland forest located in southern Finland. The site was drained in 1969 and partially harvested in March 2016. Current tree stand consists mostly of Norway spruce and Pubescent birch. Average canopy height about 20 m. Few kilometers from highway 2.,2009-01-01 00:00:00,
97,FI-Sod,ENF,67.36239,26.63859,Sodankyla,Finland,500,180,,,,
98,FR-Fon,DBF,48.47636,2.7801,Fontainebleau-Barbeau,France,720,103,2,"This tower is located in Barbeau state forest (near Fontainebleau), a 150 year-old forest with dominant oak and hornbeam in the understory.",2016-01-01 00:00:00,
100,FR-LBr,ENF,44.71711,-0.7693,Le Bray,France,900,61,,,1996-01-01 00:00:00,1996-01-01 00:00:00
101,FR-Pue,EBF,43.7413,3.5957,Puechabon,France,883,270,,,,
102,GF-Guy,EBF,5.27877,-52.92486,Guyaflux (French Guiana),French Guyana,3041,48,0,,2004-01-01 00:00:00,
103,GH-Ank,EBF,5.26854,-2.69421,Ankasa,Ghana,1900,124,,,2011-01-01 00:00:00,
106,GL-ZaH,GRA,74.47328,-20.5503,Zackenberg Heath,Greenland,211,38,240,High Arctic tundra heath,2000-01-01 00:00:00,
108,IT-CA1,DBF,42.38041,12.02656,Castel d'Asso1,Italy,766,200,,Short rotation forestry of poplar for biomass production,2011-01-01 00:00:00,2014-01-01 00:00:00
110,IT-CA3,DBF,42.3800,12.0222,Castel d'Asso3,Italy,766,197,,Short rotation forestry of poplar for biomass production,2011-01-01 00:00:00,2014-01-01 00:00:00
111,IT-Col,DBF,41.84936,13.58814,Collelongo,Italy,1180,1560,,,,
112,IT-Cp2,EBF,41.70427,12.35729,Castelporziano2,Italy,805,19,,Evergreen Holm Oak (Quercus ilex) forest.,2012-01-01 00:00:00,
113,IT-Cpz,EBF,41.70525,12.37611,Castelporziano,Italy,780,68,,,1997-01-01 00:00:00,1997-01-01 00:00:00
114,IT-Isp,DBF,45.81264,8.63358,Ispra ABC-IS,Italy,1300,210,3,"mixed forest, unmanaged since 1960s; main species: Quercus robur (dominant), Robinia pseudoacacia, Alnus glutinosa, Pinus rigida, minor species: Populus tremula, Betula pendula, Corylus avellana, Prunus serotina",2012-07-01 00:00:00,2015-12-31 00:00:00
115,IT-La2,ENF,45.9542,11.2853,Lavarone2,Italy,1150,1350,,,2000-01-01 00:00:00,2000-01-01 00:00:00
116,IT-Lav,ENF,45.9562,11.28132,Lavarone,Italy,1291,1353,,,2002-01-01 00:00:00,
117,IT-MBo,GRA,46.01468,11.04583,Monte Bondone,Italy,1214,1550,,,2002-01-01 00:00:00,
118,IT-Noe,CSH,40.60618,8.15169,Arca di Noe - Le Prigionette,Italy,588,25,0,Undisturbed mediterranean maquis site. Flux measurements started in the 2004 with previuos projects,2015-01-01 00:00:00,
119,IT-PT1,DBF,45.20087,9.06104,Parco Ticino forest,Italy,984,60,,,,
120,IT-Ren,ENF,46.58686,11.43369,Renon,Italy,809.3,1730,,,,
121,IT-Ro1,DBF,42.40812,11.93001,Roccarespampani 1,Italy,876.2,235,,,2000-01-01 00:00:00,2000-01-01 00:00:00
122,IT-Ro2,DBF,42.39026,11.92093,Roccarespampani 2,Italy,876.2,160,,,2002-01-01 00:00:00,2013-01-01 00:00:00
123,IT-SR2,ENF,43.73202,10.29091,San Rossore 2,Italy,920,4,0,strip of pine plantation (Pinus pinea) extending ca. 6x1km along the cost established from seed; IT-SR2 is the successor of IT-SRo site which was located approx. 700 m south-west,2013-01-01 00:00:00,
124,IT-SRo,ENF,43.72786,10.28444,San Rossore,Italy,920,6,,,1999-01-01 00:00:00,1999-01-01 00:00:00
125,IT-Tor,GRA,45.84444,7.57806,Torgnon,Italy,920,2160,200,The site is an abandoned grassland in European Alps dominated by Nardus stricta,2008-06-20 00:30:00,
126,JP-MBF,DBF,44.3869,142.3186,Moshiri Birch Forest Site,Japan,,,,,,
127,JP-SMF,MF,35.2617,137.0788,Seto Mixed Forest Site,Japan,,,,,,
128,MY-PSO,EBF,2.9730,102.3062,Pasoh Forest Reserve (PSO),Malaysia,,,,,,
129,NL-Hor,GRA,52.24035,5.0713,Horstermeer,Netherlands,800,2.2,,,2003-01-01 00:00:00,
130,NL-Loo,ENF,52.16658,5.74356,Loobos,Netherlands,786,25,,"The Loobos site is located near Kootwijk (52?10?00? N - 5?44?38? O). The main tree species is Scots pine (Pinus silvestris). In all direc¬tions the forest extends for more than 1.5 km. The trees were planted around 1909 on sand dunes and are widely spaced with some open spots. In a radius of 500 m around the flux tower 89% of the area is covered with Scots pine, 3.3% with Corsican or black pine, 2.3% with birch, 1.3% with Douglas fir, 0.6% with oak and 3.5% of the area is open and mostly covered with heather and grass. The average tree height is 15.1 m. The undergrowth of the forest is a closed cover of mainly grass (Deschampsia). Because of the local topography caused by the sand dunes the distance to the ground water table depends on the location. At the base of the tower the ground water table is at a depth of ? 6.5 m below the surface.",1994-01-01 00:00:00,
131,PA-SPn,DBF,9.31814,-79.6346,Sardinilla Plantation,Panama,2350,78,0,,2007-01-01 00:00:00,2007-01-01 00:00:00
132,PA-SPs,GRA,9.31378,-79.63143,Sardinilla-Pasture,Panama,2350,68,0,,2007-01-01 00:00:00,2007-01-01 00:00:00
134,RU-Cok,OSH,70.82914,147.49428,Chokurdakh,Russia,232,48,250,,2003-01-01 00:00:00,
135,RU-Fyo,ENF,56.46153,32.92208,Fyodorovskoye,Russia,711,265,100,Site is an old (about 200 years) spruce forest with spruce  and birch. The undergrowth is dominated by Vaccinium  and Sphaghum.,2009-01-01 00:00:00,
136,RU-Ha1,GRA,54.72517,90.00215,Hakasia steppe,Russia,,446,,,2002-01-01 00:00:00,2002-01-01 00:00:00
137,RU-Sam,GRA,72.3733,126.4978,Samoylov,Russia,,,220,,2002-07-11 00:00:00,
138,RU-SkP,DNF,62.2550,129.1680,Yakutsk Spasskaya Pad larch,Russia,,246,,,2001-01-01 00:00:00,
139,RU-Tks,GRA,71.59427,128.88782,Tiksi,Russia,323,7,235,,2011-01-01 00:00:00,
140,RU-Vrk,CSH,67.05468,62.94047,Seida/Vorkuta,Russia,501,100,245,,2007-01-01 00:00:00,2008-01-01 00:00:00
141,SD-Dem,SAV,13.2829,30.4783,Demokeya,Sudan,320,500,,,,
145,SN-Dhr,SAV,15.40278,-15.43222,Dahra,Senegal,404,40,,,2010-01-01 00:00:00,
